Team,Season,Games Played,Wins,Losses,Overtime Losses,Points,Point Percentage,Goals For,Goals Against,Total Players,Average Age,Cap Space,Total Cap,Long0term IR,Active,Injured
New Jersey Devils,2011,82.0,48.0,28.0,6.0,102.0,0.622,216.0,205.0,43,27.4,1768336,66068336,0.0,63401668,0.0
New York Islanders,2011,82.0,34.0,37.0,11.0,79.0,0.482,196.0,251.0,40,25.8,17431418,46868582,0.0,43831249,0.0
New York Rangers,2011,82.0,51.0,24.0,7.0,109.0,0.665,222.0,182.0,46,25.9,19262000,83562000,0.0,79845333,0.0
Philadelphia Flyers,2011,82.0,47.0,26.0,9.0,103.0,0.628,260.0,225.0,38,26.0,14483929,78783929,0.0,78783929,0.0
Pittsburgh Penguins,2011,82.0,51.0,25.0,6.0,108.0,0.659,273.0,218.0,41,27.1,5548167,69848167,0.0,69698167,0.0
Boston Bruins,2011,82.0,49.0,29.0,4.0,102.0,0.622,260.0,199.0,42,26.8,1533807,65833807,0.0,65575474,0.0
Buffalo Sabres,2011,82.0,39.0,32.0,11.0,89.0,0.543,211.0,223.0,37,25.5,1360357,65660357,0.0,65660357,0.0
Montréal Canadiens,2011,82.0,31.0,35.0,16.0,78.0,0.476,207.0,214.0,36,25.6,9335825,54964175,0.0,54964175,0.0
Ottawa Senators,2011,82.0,41.0,31.0,10.0,92.0,0.561,243.0,236.0,44,26.1,8461667,55838333,0.0,54575833,0.0
Toronto Maple Leafs,2011,82.0,35.0,37.0,10.0,80.0,0.488,227.0,259.0,39,25.1,2935000,61365000,0.0,60365000,0.0
Carolina Hurricanes,2011,82.0,33.0,33.0,16.0,82.0,0.5,212.0,237.0,46,25.5,2274669,62025331,0.0,62025331,0.0
Florida Panthers,2011,82.0,38.0,26.0,18.0,94.0,0.573,197.0,216.0,43,26.3,7722166,56577834,0.0,56111167,0.0
Tampa Bay Lightning,2011,82.0,38.0,36.0,8.0,84.0,0.512,232.0,278.0,44,27.8,1048755,65348755,0.0,63807088,0.0
Washington Capitals,2011,82.0,42.0,32.0,8.0,92.0,0.561,218.0,226.0,44,26.0,7830460,72130460,0.0,71897127,0.0
Chicago Blackhawks,2011,82.0,45.0,26.0,11.0,101.0,0.616,241.0,231.0,39,24.9,3087628,67387628,0.0,67387628,0.0
Detroit Red Wings,2011,82.0,48.0,28.0,6.0,102.0,0.622,239.0,200.0,42,27.4,2431291,61868709,0.0,61868709,0.0
Nashville Predators,2011,82.0,48.0,26.0,8.0,104.0,0.634,232.0,205.0,44,25.7,788268,63511732,0.0,61661732,0.0
St. Louis Blues,2011,82.0,49.0,22.0,11.0,109.0,0.665,206.0,155.0,46,24.6,6609168,57690832,0.0,56524165,0.0
Calgary Flames,2011,82.0,37.0,29.0,16.0,90.0,0.549,199.0,217.0,33,26.9,925447,63374553,0.0,63374553,0.0
Colorado Avalanche,2011,82.0,41.0,35.0,6.0,88.0,0.537,199.0,218.0,38,25.2,15329668,48970332,0.0,48970332,0.0
Edmonton Oilers,2011,82.0,32.0,40.0,10.0,74.0,0.451,207.0,232.0,45,26.0,4448666,68748666,0.0,65931999,0.0
Vancouver Canucks,2011,82.0,51.0,22.0,9.0,111.0,0.677,241.0,191.0,43,26.7,9478333,73778333,0.0,73778333,0.0
Anaheim Ducks,2011,82.0,34.0,36.0,12.0,80.0,0.488,201.0,224.0,34,26.5,9129749,55170251,0.0,54986918,0.0
Dallas Stars,2011,82.0,42.0,35.0,5.0,89.0,0.543,204.0,218.0,46,26.5,14011668,50288332,0.0,50288332,0.0
Los Angeles Kings,2011,82.0,40.0,27.0,15.0,95.0,0.579,188.0,170.0,45,24.9,10043200,74343200,0.0,74343200,0.0
San Jose Sharks,2011,82.0,43.0,29.0,10.0,96.0,0.585,219.0,205.0,40,26.6,1927778,66227778,0.0,66227778,0.0
Columbus Blue Jackets,2011,82.0,29.0,46.0,7.0,65.0,0.396,198.0,257.0,36,25.6,12238417,52061583,0.0,50669583,0.0
Minnesota Wild,2011,82.0,35.0,36.0,11.0,81.0,0.494,166.0,217.0,42,26.3,10784722,53515278,0.0,52212500,0.0
Winnipeg Jets,2011,82.0,37.0,35.0,10.0,84.0,0.512,221.0,242.0,36,25.2,11236708,53063292,0.0,52629958,0.0
New Jersey Devils,2012,48.0,19.0,19.0,10.0,48.0,0.5,110.0,122.0,50,29.1,5442500,64757500,0.0,61128333,1800000.0
New York Islanders,2012,48.0,24.0,17.0,7.0,55.0,0.573,135.0,136.0,55,26.7,8561278,61638722,0.0,58684722,750000.0
New York Rangers,2012,48.0,26.0,18.0,4.0,56.0,0.583,126.0,108.0,54,27.3,2526167,72726167,0.0,64209500,1250000.0
Philadelphia Flyers,2012,48.0,23.0,22.0,3.0,49.0,0.51,132.0,139.0,50,27.2,6422679,76622679,0.0,70622679,5100000.0
Pittsburgh Penguins,2012,48.0,36.0,12.0,0.0,72.0,0.75,162.0,119.0,48,28.0,8005257,78205257,0.0,78205257,0.0
Boston Bruins,2012,48.0,28.0,14.0,6.0,62.0,0.646,127.0,106.0,52,28.5,1052024,69147976,0.0,68889643,0.0
Buffalo Sabres,2012,48.0,21.0,21.0,6.0,48.0,0.5,118.0,139.0,48,25.4,11805476,58394524,0.0,57669524,725000.0
Montréal Canadiens,2012,48.0,29.0,14.0,5.0,63.0,0.656,146.0,124.0,46,27.8,3570357,66629643,0.0,60172500,0.0
Ottawa Senators,2012,48.0,25.0,17.0,6.0,56.0,0.583,112.0,100.0,50,27.1,17403334,52796666,0.0,52746666,0.0
Toronto Maple Leafs,2012,48.0,26.0,17.0,5.0,57.0,0.594,145.0,128.0,53,26.4,8835000,61365000,0.0,54015000,0.0
Carolina Hurricanes,2012,48.0,19.0,25.0,4.0,42.0,0.438,127.0,159.0,52,26.6,14726667,55473333,0.0,49198333,6200000.0
Florida Panthers,2012,48.0,15.0,27.0,6.0,36.0,0.375,109.0,170.0,51,27.2,11761882,58438118,0.0,53367285,4787500.0
Tampa Bay Lightning,2012,48.0,18.0,26.0,4.0,40.0,0.417,147.0,147.0,49,27.7,8526636,61673364,0.0,60506697,0.0
Washington Capitals,2012,48.0,27.0,18.0,3.0,57.0,0.594,146.0,130.0,49,26.8,2652920,67547080,0.0,63788747,3525000.0
Chicago Blackhawks,2012,48.0,36.0,7.0,5.0,77.0,0.802,149.0,97.0,46,26.2,1664226,71864226,0.0,71039226,825000.0
Detroit Red Wings,2012,48.0,24.0,16.0,8.0,56.0,0.583,122.0,110.0,52,28.0,7639623,62560377,0.0,62560377,0.0
Nashville Predators,2012,48.0,16.0,23.0,9.0,41.0,0.427,109.0,133.0,47,26.3,19776191,50423809,0.0,48623809,0.0
St. Louis Blues,2012,48.0,29.0,17.0,2.0,60.0,0.625,124.0,114.0,47,25.3,10065001,60134999,0.0,58634999,1500000.0
Calgary Flames,2012,48.0,19.0,25.0,4.0,42.0,0.438,128.0,157.0,29,27.6,12861113,57338887,0.0,53563887,3775000.0
Colorado Avalanche,2012,48.0,16.0,25.0,7.0,39.0,0.406,114.0,150.0,44,26.6,11718334,58481666,0.0,54981666,3500000.0
Edmonton Oilers,2012,48.0,19.0,22.0,7.0,45.0,0.469,123.0,131.0,51,26.2,12928000,57272000,0.0,48772000,7000000.0
Vancouver Canucks,2012,48.0,26.0,15.0,7.0,59.0,0.615,122.0,115.0,48,27.6,5773333,75973333,0.0,75973333,0.0
Anaheim Ducks,2012,48.0,30.0,12.0,6.0,66.0,0.688,134.0,115.0,49,27.1,3135834,67064166,0.0,67064166,0.0
Dallas Stars,2012,48.0,22.0,22.0,4.0,48.0,0.5,128.0,141.0,55,26.2,24544723,45655277,0.0,40896944,4500000.0
Los Angeles Kings,2012,48.0,27.0,16.0,5.0,59.0,0.615,131.0,114.0,47,26.5,4792274,65407726,0.0,65407726,0.0
San Jose Sharks,2012,48.0,25.0,16.0,7.0,57.0,0.594,116.0,112.0,44,27.5,6168333,64031667,0.0,62356667,1675000.0
Columbus Blue Jackets,2012,48.0,24.0,17.0,7.0,55.0,0.573,115.0,115.0,50,26.2,17542858,52657142,0.0,51115476,0.0
Minnesota Wild,2012,48.0,26.0,19.0,3.0,55.0,0.573,118.0,125.0,49,27.3,7598035,77798035,0.0,72248591,4080000.0
Winnipeg Jets,2012,48.0,24.0,21.0,3.0,51.0,0.531,126.0,141.0,42,26.1,12494756,57705244,0.0,56353951,1351293.0
