Team,Season,Games Played,Wins,Losses,Overtime Losses,Points,Point Percentage,Goals For,Goals Against
New Jersey Devils,2011-12,82.0,48.0,28.0,6.0,102.0,0.622,216.0,205.0
New York Islanders,2011-12,82.0,34.0,37.0,11.0,79.0,0.482,196.0,251.0
New York Rangers,2011-12,82.0,51.0,24.0,7.0,109.0,0.665,222.0,182.0
Philadelphia Flyers,2011-12,82.0,47.0,26.0,9.0,103.0,0.628,260.0,225.0
Pittsburgh Penguins,2011-12,82.0,51.0,25.0,6.0,108.0,0.659,273.0,218.0
Boston Bruins,2011-12,82.0,49.0,29.0,4.0,102.0,0.622,260.0,199.0
Buffalo Sabres,2011-12,82.0,39.0,32.0,11.0,89.0,0.543,211.0,223.0
Montréal Canadiens,2011-12,82.0,31.0,35.0,16.0,78.0,0.476,207.0,214.0
Ottawa Senators,2011-12,82.0,41.0,31.0,10.0,92.0,0.561,243.0,236.0
Toronto Maple Leafs,2011-12,82.0,35.0,37.0,10.0,80.0,0.488,227.0,259.0
Carolina Hurricanes,2011-12,82.0,33.0,33.0,16.0,82.0,0.5,212.0,237.0
Florida Panthers,2011-12,82.0,38.0,26.0,18.0,94.0,0.573,197.0,216.0
Tampa Bay Lightning,2011-12,82.0,38.0,36.0,8.0,84.0,0.512,232.0,278.0
Washington Capitals,2011-12,82.0,42.0,32.0,8.0,92.0,0.561,218.0,226.0
Chicago Blackhawks,2011-12,82.0,45.0,26.0,11.0,101.0,0.616,241.0,231.0
Detroit Red Wings,2011-12,82.0,48.0,28.0,6.0,102.0,0.622,239.0,200.0
Nashville Predators,2011-12,82.0,48.0,26.0,8.0,104.0,0.634,232.0,205.0
St. Louis Blues,2011-12,82.0,49.0,22.0,11.0,109.0,0.665,206.0,155.0
Calgary Flames,2011-12,82.0,37.0,29.0,16.0,90.0,0.549,199.0,217.0
Colorado Avalanche,2011-12,82.0,41.0,35.0,6.0,88.0,0.537,199.0,218.0
Edmonton Oilers,2011-12,82.0,32.0,40.0,10.0,74.0,0.451,207.0,232.0
Vancouver Canucks,2011-12,82.0,51.0,22.0,9.0,111.0,0.677,241.0,191.0
Anaheim Ducks,2011-12,82.0,34.0,36.0,12.0,80.0,0.488,201.0,224.0
Dallas Stars,2011-12,82.0,42.0,35.0,5.0,89.0,0.543,204.0,218.0
Los Angeles Kings,2011-12,82.0,40.0,27.0,15.0,95.0,0.579,188.0,170.0
Phoenix Coyotes,2011-12,82.0,42.0,27.0,13.0,97.0,0.591,210.0,194.0
San Jose Sharks,2011-12,82.0,43.0,29.0,10.0,96.0,0.585,219.0,205.0
Columbus Blue Jackets,2011-12,82.0,29.0,46.0,7.0,65.0,0.396,198.0,257.0
Minnesota Wild,2011-12,82.0,35.0,36.0,11.0,81.0,0.494,166.0,217.0
Winnipeg Jets,2011-12,82.0,37.0,35.0,10.0,84.0,0.512,221.0,242.0
New Jersey Devils,2012-13,48.0,19.0,19.0,10.0,48.0,0.5,110.0,122.0
New York Islanders,2012-13,48.0,24.0,17.0,7.0,55.0,0.573,135.0,136.0
New York Rangers,2012-13,48.0,26.0,18.0,4.0,56.0,0.583,126.0,108.0
Philadelphia Flyers,2012-13,48.0,23.0,22.0,3.0,49.0,0.51,132.0,139.0
Pittsburgh Penguins,2012-13,48.0,36.0,12.0,0.0,72.0,0.75,162.0,119.0
Boston Bruins,2012-13,48.0,28.0,14.0,6.0,62.0,0.646,127.0,106.0
Buffalo Sabres,2012-13,48.0,21.0,21.0,6.0,48.0,0.5,118.0,139.0
Montréal Canadiens,2012-13,48.0,29.0,14.0,5.0,63.0,0.656,146.0,124.0
Ottawa Senators,2012-13,48.0,25.0,17.0,6.0,56.0,0.583,112.0,100.0
Toronto Maple Leafs,2012-13,48.0,26.0,17.0,5.0,57.0,0.594,145.0,128.0
Carolina Hurricanes,2012-13,48.0,19.0,25.0,4.0,42.0,0.438,127.0,159.0
Florida Panthers,2012-13,48.0,15.0,27.0,6.0,36.0,0.375,109.0,170.0
Tampa Bay Lightning,2012-13,48.0,18.0,26.0,4.0,40.0,0.417,147.0,147.0
Washington Capitals,2012-13,48.0,27.0,18.0,3.0,57.0,0.594,146.0,130.0
Chicago Blackhawks,2012-13,48.0,36.0,7.0,5.0,77.0,0.802,149.0,97.0
